07.06.2024                           Saída dinâmica de lista                                   1
------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------
|Reserva|Cen.|Dep.|Data base |TMv|Material|Texto breve material                    |UMB|   Qtd.|
|4379660|N190|USAD|03.06.2024|X43|22060654|FONTE DE ALIMENTACAO 12V FAST3895 NBS4  |UN |    70 |
|4379660|N190|N190|03.06.2024|X43|22061811|CONECTOR UTP RJ45 M CAT 5 24AWG         |UN |   100 |
|4379660|N190|USAD|03.06.2024|X43|22065609|FONTE DE ALIMENTACAO AP5541 F18L1       |UN |    30 |
|4379661|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |    20 |
|4379661|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |    20 |
|4379661|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   230 |
|4379661|N190|USAD|03.06.2024|X41|41001523|TERMINAL EXTENSOR WIFI MESH AP5541      |UN |    30 |
|4379661|N190|USAD|03.06.2024|X41|41001552|TERMINAL DOCSIS 3.1 EMTA WIFI6 F@ST3896 |UN |    70 |
|4379661|N190|N190|03.06.2024|X41|41001573|DECODER CARDLESS 4K UHD S4KCW4S CABO IP |UN |    20 |
|4379668|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |    30 |
|4379668|N190|USAD|03.06.2024|X41|41001048|DECODER HD HHDC2                        |UN |    30 |
|4379668|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |    90 |
|4379668|N190|USAD|03.06.2024|X41|41001553|TERMINAL DOCSIS 3.1 EMTA WIFI6 TC3106   |UN |    50 |
|4379668|N190|N190|03.06.2024|X41|41001590|TERMINAL GPON ONT WIFI6 F6600P          |UN |    20 |
|4379670|N190|USAD|03.06.2024|X41|41000805|SMART CARD AVULSO SIM CARD              |UN |   290 |
|4379670|N190|USAD|03.06.2024|X41|41001047|DECODER HD THDC4 NET                    |UN |   290 |
|4379670|N190|USAD|03.06.2024|X41|41001294|EMTA WIFI 3.0 TC7337NET 16X4            |UN |   100 |
|4379670|N190|USAD|03.06.2024|X41|41001518|TERMINAL DOCSIS 3.1 WIFI HI3120         |UN |    90 |
|4379670|N190|USAD|03.06.2024|X41|41001523|TERMINAL EXTENSOR WIFI MESH AP5541      |UN |    15 |
|4379671|N190|N190|03.06.2024|X43|22023400|ABRACADEIRA NYLON T50R 20CM PRETA       |UN |   100 |
|4379671|N190|N190|03.06.2024|X43|22025139|FIXADOR FIO BR RG6 CIRCUL 7MM           |UN | 3.600 |
|4379671|N190|USAD|03.06.2024|X43|22025162|MARCADOR APTO NUM 0 TIPO HO85 AMARELO   |UN |   100 |
|4379671|N190|N190|03.06.2024|X43|22025237|MARCADOR APTO NUM 5 TIPO HO85 AMARELO   |UN |   100 |
|4379671|N190|USAD|03.06.2024|X43|22025242|ABRACADEIRA NYLON T18R 10CM PRETA       |UN |   100 |
|4379671|N190|USAD|03.06.2024|X43|22025348|FIXA FIO CABO LOW FRICT CHATO           |UN |   100 |
|4379671|N190|USAD|03.06.2024|X43|22026103|CABO HDMI 2MTS BASICO SEM ETHE          |UN |    20 |
|4379671|N190|N190|03.06.2024|X43|22026223|CABO COAXIAL RG6 TRISH COM MENSAG PRETO |M  | 1.525 |
|4379671|N190|USAD|03.06.2024|X43|22026249|CTRL REMOTO DIG. DCR7121 PACE           |UN |    70 |
|4379671|N190|N190|03.06.2024|X43|22026772|DIV_RI 2S 1GHZ H SOLDADO                |UN |   100 |
|4379671|N190|N190|03.06.2024|X43|22026792|DIV_RI 3S 1GHZ H SOLD DESB 488          |UN |    25 |
|4379671|N190|N190|03.06.2024|X43|22026795|DIV_RI 3S 1GHZ H SOLD BAL 777           |UN |    75 |
|4379671|N190|N190|03.06.2024|X43|22026809|DC_RI 1S 06DB 1GHZ H SOLDADO            |UN |   150 |
|4379671|N190|N190|03.06.2024|X43|22056331|MARCADOR CASA PTO NR 5                  |UN |   200 |
|4379671|N190|USAD|03.06.2024|X43|22056336|MARCADOR CASA PTO NR 6                  |UN |   100 |
|4379671|N190|N190|03.06.2024|X43|22056343|MARCADOR CASA PTO NR 1                  |UN |   200 |
|4379671|N190|N190|03.06.2024|X43|22056365|PROTETOR P/MINI ISOLADOR - ACRE1568     |UN |   360 |
|4379671|N190|N190|03.06.2024|X43|22057659|ESTICADOR CUNHA PARA DROP OPTICO SRDO   |UN |   160 |
|4379671|N190|USAD|03.06.2024|X43|22058239|FONTE DE ENERGIA PA11807UD2             |UN |    70 |
|4379671|N190|N190|03.06.2024|X43|22058258|PILHA MANGANES AAA 1,5 V                |UN |   140 |
|4379671|N190|USAD|03.06.2024|X43|22058639|FONTE ENERGIA MSA C2500IC12.0 30W       |UN |    20 |
|4379671|N190|N190|03.06.2024|X43|22063252|CONTROLE REMOTO VOZ C GBX RC3394201     |UN |    20 |
